k_yakutistan;Yakutia;Yakutia;Yakutia;Yakutia;Yakutia;;;;;;;;;x
k_yakutistan_adj;Yakutia;Yakutia;Yakutia;Yakutia;Yakutia;;;;;;;;;x
d_chubraseili;Chubraseili;Chubraseili;Chubraseili;Chubraseili;Chubraseili;;;;;;;;;x
d_chubraseili_adj;Chubraseili;Chubraseili;Chubraseili;Chubraseili;Chubraseili;;;;;;;;;x
d_yakutsk;Yakutsk;Yakutsk;Yakutsk;Yakutsk;Yakutsk;;;;;;;;;x
d_yakutsk_adj;Yakutsk;Yakutsk;Yakutsk;Yakutsk;Yakutsk;;;;;;;;;x
d_verurbuju;Verurbuju;Verurbuju;Verurbuju;Verurbuju;Verurbuju;;;;;;;;;x
d_verurbuju_adj;Verurbuju;Verurbuju;Verurbuju;Verurbuju;Verurbuju;;;;;;;;;x
d_kharkamverk;Kharkamverk;Kharkamverk;Kharkamverk;Kharkamverk;Kharkamverk;;;;;;;;;x
d_kharkamverk_adj;Kharkamverk;Kharkamverk;Kharkamverk;Kharkamverk;Kharkamverk;;;;;;;;;x
b_chuna;Chuna;Chuna;Chuna;Chuna;Chuna;;;;;;;;;x
b_bratsk;Bratsk;Bratsk;Bratsk;Bratsk;Bratsk;;;;;;;;;x
b_saskyiakh;Saskyiakh;Saskyiakh;Saskyiakh;Saskyiakh;Saskyiakh;;;;;;;;;x
b_oleyok;Oleyok;Oleyok;Oleyok;Oleyok;Oleyok;;;;;;;;;x
b_alkhalo;Alkhalo;Alkhalo;Alkhalo;Alkhalo;Alkhalo;;;;;;;;;x
b_udachny;Udachny;Udachny;Udachny;Udachny;Udachny;;;;;;;;;x
b_seganka;Seganka;Seganka;Seganka;Seganka;Seganka;;;;;;;;;x
b_nyurba;Nyurba;Nyurba;Nyurba;Nyurba;Nyurba;;;;;;;;;x
b_lenskyy;Lenskyy;Lenskyy;Lenskyy;Lenskyy;Lenskyy;;;;;;;;;x
b_ilimsk;Ilimsk;Ilimsk;Ilimsk;Ilimsk;Ilimsk;;;;;;;;;x
b_olyokmatsk;Olyokmatsk;Olyokmatsk;Olyokmatsk;Olyokmatsk;Olyokmatsk;;;;;;;;;x
b_neryunglo;Neryunglo;Neryunglo;Neryunglo;Neryunglo;Neryunglo;;;;;;;;;x
b_nubiah;Nubiah;Nubiah;Nubiah;Nubiah;Nubiah;;;;;;;;;x
