PROV1995;Suruga;Suruga;Suruga;Suruga;Suruga;Suruga;Suruga;Suruga;Suruga;Suruga;Suruga;Suruga;Suruga;x
PROV1996;Owari;Owari;Owari;Owari;Owari;Owari;Owari;Owari;Owari;Owari;Owari;Owari;Owari;x
PROV1997;Mino;Mino;Mino;Mino;Mino;Mino;Mino;Mino;Mino;Mino;Mino;Mino;Mino;x
PROV1998;Etchu;Etchu;Etchu;Etchu;Etchu;Etchu;Etchu;Etchu;Etchu;Etchu;Etchu;Etchu;Etchu;x
PROV1999;Kaga;Kaga;Kaga;Kaga;Kaga;Kaga;Kaga;Kaga;Kaga;Kaga;Kaga;Kaga;Kaga;x
PROV2000;Echizen;Echizen;Echizen;Echizen;Echizen;Echizen;Echizen;Echizen;Echizen;Echizen;Echizen;Echizen;Echizen;x
PROV2001;Ise;Ise;Ise;Ise;Ise;Ise;Ise;Ise;Ise;Ise;Ise;Ise;Ise;x
PROV2002;Omi;Omi;Omi;Omi;Omi;Omi;Omi;Omi;Omi;Omi;Omi;Omi;Omi;x
PROV2003;Yamato;Yamato;Yamato;Yamato;Yamato;Yamato;Yamato;Yamato;Yamato;Yamato;Yamato;Yamato;Yamato;x
PROV2004;Yamashiro;Yamashiro;Yamashiro;Yamashiro;Yamashiro;Yamashiro;Yamashiro;Yamashiro;Yamashiro;Yamashiro;Yamashiro;Yamashiro;Yamashiro;x
PROV2005;Tango;Tango;Tango;Tango;Tango;Tango;Tango;Tango;Tango;Tango;Tango;Tango;Tango;x
PROV2006;Settsu;Settsu;Settsu;Settsu;Settsu;Settsu;Settsu;Settsu;Settsu;Settsu;Settsu;Settsu;Settsu;x
PROV2007;Kii;Kii;Kii;Kii;Kii;Kii;Kii;Kii;Kii;Kii;Kii;Kii;Kii;x
PROV2008;Tajima;Tajima;Tajima;Tajima;Tajima;Tajima;Tajima;Tajima;Tajima;Tajima;Tajima;Tajima;Tajima;x
PROV2009;Kuye;Kuye;Kuye;Kuye;Kuye;Kuye;Kuye;Kuye;Kuye;Kuye;Kuye;Kuye;Kuye;x
PROV2010;Karput;Karput;Karput;Karput;Karput;Karput;Karput;Karput;Karput;Karput;Karput;Karput;Karput;x
PROV2011;Oshima;Oshima;Oshima;Oshima;Oshima;Oshima;Oshima;Oshima;Oshima;Oshima;Oshima;Oshima;Oshima;x
PROV2012;Ishikari;Ishikari;Ishikari;Ishikari;Ishikari;Ishikari;Ishikari;Ishikari;Ishikari;Ishikari;Ishikari;Ishikari;Ishikari;x
PROV2013;Kusuri;Kusuri;Kusuri;Kusuri;Kusuri;Kusuri;Kusuri;Kusuri;Kusuri;Kusuri;Kusuri;Kusuri;Kusuri;x
PROV2014;Amami;Amami;Amami;Amami;Amami;Amami;Amami;Amami;Amami;Amami;Amami;Amami;Amami;x
PROV2015;Ryukyu;Ryukyu;Ryukyu;Ryukyu;Ryukyu;Ryukyu;Ryukyu;Ryukyu;Ryukyu;Ryukyu;Ryukyu;Ryukyu;Ryukyu;x
PROV2016;Sakishima;Sakishima;Sakishima;Sakishima;Sakishima;Sakishima;Sakishima;Sakishima;Sakishima;Sakishima;Sakishima;Sakishima;Sakishima;x
PROV2017;Yongwon;Yongwon;Yongwon;Yongwon;Yongwon;Yongwon;Yongwon;Yongwon;Yongwon;Yongwon;Yongwon;Yongwon;Yongwon;x
PROV2018;Anwon;Anwon;Anwon;Anwon;Anwon;Anwon;Anwon;Anwon;Anwon;Anwon;Anwon;Anwon;Anwon;x
PROV2019;Hurha;Hurha;Hurha;Hurha;Hurha;Hurha;Hurha;Hurha;Hurha;Hurha;Hurha;Hurha;Hurha;x
PROV2020;Bojo;Bojo;Bojo;Bojo;Bojo;Bojo;Bojo;Bojo;Bojo;Bojo;Bojo;Bojo;Bojo;x
PROV2021;Bukgye;Bukgye;Bukgye;Bukgye;Bukgye;Bukgye;Bukgye;Bukgye;Bukgye;Bukgye;Bukgye;Bukgye;Bukgye;x
PROV2022;Hae;Hae;Hae;Hae;Hae;Hae;Hae;Hae;Hae;Hae;Hae;Hae;Hae;x
PROV2023;Hwang;Hwang;Hwang;Hwang;Hwang;Hwang;Hwang;Hwang;Hwang;Hwang;Hwang;Hwang;Hwang;x
PROV2024;Gyeonggi;Gyeonggi;Gyeonggi;Gyeonggi;Gyeonggi;Gyeonggi;Gyeonggi;Gyeonggi;Gyeonggi;Gyeonggi;Gyeonggi;Gyeonggi;Gyeonggi;x
PROV2025;Gyo;Gyo;Gyo;Gyo;Gyo;Gyo;Gyo;Gyo;Gyo;Gyo;Gyo;Gyo;Gyo;x
PROV2026;Donggye;Donggye;Donggye;Donggye;Donggye;Donggye;Donggye;Donggye;Donggye;Donggye;Donggye;Donggye;Donggye;x
PROV2027;Gwang;Gwang;Gwang;Gwang;Gwang;Gwang;Gwang;Gwang;Gwang;Gwang;Gwang;Gwang;Gwang;x
