e_big_african_empire;Narubina;Narubina;Narubina;Narubina;Narubina;Narubina;Narubina;Narubina;Narubina;Narubina;Narubina;Narubina;Narubina;x
e_big_african_empire_adj;Narubina;Narubina;Narubina;Narubina;Narubina;Narubina;Narubina;Narubina;Narubina;Narubina;Narubina;Narubina;Narubina;x
k_gabon;Gabon;Gabon;Gabon;Gabon;Gabon;Gabon;Gabon;Gabon;Gabon;Gabon;Gabon;Gabon;Gabon;x
k_gabon_adj;Gabon;Gabon;Gabon;Gabon;Gabon;Gabon;Gabon;Gabon;Gabon;Gabon;Gabon;Gabon;Gabon;x
d_ligetchi;Ligetchi;Ligetchi;Ligetchi;Ligetchi;Ligetchi;Ligetchi;Ligetchi;Ligetchi;Ligetchi;Ligetchi;Ligetchi;Ligetchi;Ligetchi;x
d_ligetchi_adj;Ligetchi;Ligetchi;Ligetchi;Ligetchi;Ligetchi;Ligetchi;Ligetchi;Ligetchi;Ligetchi;Ligetchi;Ligetchi;Ligetchi;Ligetchi;x
c_libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;x
c_libreville_adj;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;x
b_Gabon;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;x
b_ntoum;Ntoum;Ntoum;Ntoum;Ntoum;Ntoum;Ntoum;Ntoum;Ntoum;Ntoum;Ntoum;Ntoum;Ntoum;Ntoum;x
b_foulenzem;Foulenzem;Foulenzem;Foulenzem;Foulenzem;Foulenzem;Foulenzem;Foulenzem;Foulenzem;Foulenzem;Foulenzem;Foulenzem;Foulenzem;Foulenzem;x
b_abounn;Abounn;Abounn;Abounn;Abounn;Abounn;Abounn;Abounn;Abounn;Abounn;Abounn;Abounn;Abounn;Abounn;x
b_lambarene;Lambarene;Lambarene;Lambarene;Lambarene;Lambarene;Lambarene;Lambarene;Lambarene;Lambarene;Lambarene;Lambarene;Lambarene;Lambarene;x
b_ndjole;Ndjole;Ndjole;Ndjole;Ndjole;Ndjole;Ndjole;Ndjole;Ndjole;Ndjole;Ndjole;Ndjole;Ndjole;Ndjole;x
b_bifoun;Bifoun;Bifoun;Bifoun;Bifoun;Bifoun;Bifoun;Bifoun;Bifoun;Bifoun;Bifoun;Bifoun;Bifoun;Bifoun;x
b_assok;Assok;Assok;Assok;Assok;Assok;Assok;Assok;Assok;Assok;Assok;Assok;Assok;Assok;x
c_gentill;Gentill;Gentill;Gentill;Gentill;Gentill;Gentill;Gentill;Gentill;Gentill;Gentill;Gentill;Gentill;Gentill;x
c_gentill_adj;Gentill;Gentill;Gentill;Gentill;Gentill;Gentill;Gentill;Gentill;Gentill;Gentill;Gentill;Gentill;Gentill;x
b_gentill;Gentill;Gentill;Gentill;Gentill;Gentill;Gentill;Gentill;Gentill;Gentill;Gentill;Gentill;Gentill;Gentill;x
